primaryName,tconst_x,averageRating,numVotes,titleType,primaryTitle,isAdult,runtimeMinutes
Michael Smith,tt7656606,7.5,420,tvSeries,Murder in the Heartland,0,42
Chris Smith,tt0137140,7.2,9,movie,One Bad Mice,0,88
Michael Johnson,tt6198246,4.0,1257,movie,The Great War,0,108
David Smith,tt1384816,6.8,4027,tvSeries,Mater's Tall Tales,0,36
Chris Smith,tt4667610,3.8,590,movie,American Badger,0,82
Chris Smith,tt4667610,3.8,590,movie,American Badger,0,82
Chris Smith,tt7078180,8.4,28036,tvMiniSeries,Violet Evergarden,0,24
Michael Smith,tt2456424,8.8,196,tvSeries,Richard E. Grant's Hotel Secrets,0,46
Michael Johnson,tt7550000,6.0,95909,movie,Project Power,0,113
Chris Smith,tt0042786,6.3,921,movie,The Next Voice You Hear...,0,83
Michael Johnson,tt2829712,6.6,56,tvSeries,Extreme Homes,0,60
David Smith,tt0352213,6.3,7,video,Bodyjackers,0,90
David Smith,tt13028580,6.5,919,tvSeries,Aftertaste,0,30
David Smith,tt0108927,6.3,13501,tvSeries,"Sister, Sister",0,30
David Smith,tt8946378,7.9,750206,movie,Knives Out,0,130
Michael Smith,tt0483607,5.9,79229,movie,Doomsday,0,113
David Smith,tt13416640,7.2,20,tvMiniSeries,Empires of Silver,0,175
David Smith,tt13269706,7.4,2351,tvMiniSeries,Seduced: Inside the NXIVM Cult,0,253
David Smith,tt0067174,6.9,70,movie,Hail,0,85
David Smith,tt2815902,6.1,6406,movie,The Childhood of a Leader,0,115
Chris Smith,tt0046593,8.4,2222,tvSeries,The Magical World of Disney,0,120
Chris Smith,tt0168786,7.3,37911,movie,Antwone Fisher,0,120
Michael Smith,tt7475518,7.4,31,movie,Attla,0,61
Chris Smith,tt10844026,6.5,46,movie,"All Male, All Nude: Johnsons",0,83
Chris Smith,tt0072584,6.7,3488,tvSeries,Wheel of Fortune,0,30
Michael Johnson,tt0300556,5.6,65272,movie,Timeline,0,116
Michael Johnson,tt0319200,7.1,20,short,Cliché,0,5
Michael Johnson,tt13635040,8.2,48,movie,Lunamancer,0,71
David Smith,tt11097576,7.9,428,tvSeries,On Pointe,0,50
Michael Smith,tt13612162,4.7,491,tvShort,A Recipe for Seduction,0,15
Michael Smith,tt7235270,5.8,1648,tvSpecial,The Oscars,0,187
Michael Johnson,tt0314996,7.3,548,tvSeries,Cutting It,0,59
Michael Johnson,tt0988820,7.4,5581,tvSeries,The Inspector Lynley Mysteries,0,90
Michael Johnson,tt0943903,6.8,110,tvSeries,True Dare Kiss,0,60
Michael Johnson,tt0475047,7.5,4614,tvSeries,Hotel Babylon,0,60
Michael Johnson,tt0295427,3.3,26836,movie,The Master of Disguise,0,80
Michael Johnson,tt0185103,7.7,9586,tvSeries,WWE Raw,0,60
David Smith,tt0044298,4.6,2415,tvSeries,Today,0,240
Michael Johnson,tt13875162,7.7,27,video,Special Report: Zombie Invasion,0,21
Michael Smith,tt0130121,5.9,37934,movie,Mickey Blue Eyes,0,102
Michael Smith,tt0125664,7.4,135895,movie,Man on the Moon,0,118
Michael Smith,tt0116242,6.7,38903,movie,Everyone Says I Love You,0,101
David Smith,tt0205861,6.8,33,short,Dear Diary: A Film About Female Puberty,0,26
Michael Johnson,tt1346511,7.3,21,short,The Light of Family Burnam,0,19
David Smith,tt0098820,7.9,5399,tvSeries,Have I Got News for You,0,29
David Smith,tt7316998,7.8,860,tvSeries,Richard Osman's House of Games,0,29
David Smith,tt13434218,6.4,125,tvSeries,This Is MY House,0,59
David Smith,tt7969046,6.4,72,movie,Recording in Progress,0,60
Michael Smith,tt6741278,8.7,181758,tvSeries,Invincible,0,50
Michael Smith,tt6741278,8.7,181758,tvSeries,Invincible,0,50
Chris Smith,tt9574638,8.4,21,tvSeries,Emergency Helicopter Medics,0,47
David Smith,tt0162830,7.1,5218,movie,Twin Falls Idaho,0,111
Michael Smith,tt12711158,7.7,1866,tvSeries,Demi Lovato: Dancing with the Devil,0,94
David Smith,tt6547944,5.5,70,movie,Lust for Gold: A Race Against Time,0,83
Chris Smith,tt14372154,6.7,29,movie,"Alice, Through the Looking",0,90
Michael Johnson,tt0101004,4.3,4095,movie,Zandalee,0,100
Michael Smith,tt0119203,2.7,2446,movie,Glam,0,92
Michael Smith,tt0169187,6.4,39,movie,Rockets in the Dunes,0,65
Michael Johnson,tt0112826,4.0,999,tvMovie,Deadly Invasion: The Killer Bee Nightmare,0,85
Chris Smith,tt10589968,6.4,4214,tvSeries,The Secret of Skinwalker Ranch,0,42
Michael Smith,tt0119778,6.6,5075,movie,Next Stop Wonderland,0,104
Michael Johnson,tt6767728,6.4,163,movie,All In,0,98
Michael Johnson,tt6113488,6.3,9987,movie,The Case for Christ,0,112
Michael Smith,tt6871344,8.6,1338,tvMiniSeries,Dear Mama,0,65
David Smith,tt0123003,6.0,1585,movie,Bruno,0,108
Michael Smith,tt9169318,5.2,213,movie,The Never List,0,102
Michael Johnson,tt1230168,6.6,8507,movie,Same Kind of Different as Me,0,119
David Smith,tt0499406,7.0,9,tvSeries,Quelle aventure!,0,55
David Smith,tt17351924,7.5,12126,movie,Saltburn,0,131
David Smith,tt3228774,7.3,257489,movie,Cruella,0,134
Michael Smith,tt4338138,6.6,87,movie,Those Left Behind,0,102
David Smith,tt11286314,7.2,579743,movie,Don't Look Up,0,138
Michael Smith,tt10931784,5.3,7550,movie,Nanny,0,99
Michael Smith,tt10518284,3.1,802,tvSeries,Baby Shark's Big Show!,0,24
Chris Smith,tt18352022,5.5,16,short,Together Forever,0,16
Chris Smith,tt15334664,7.2,976,movie,Who Killed the KLF?,0,88
Michael Smith,tt15567002,8.5,262,movie,Milked,0,90
Michael Smith,tt18363426,5.7,87,movie,The Beauty of Blackness,0,70
Michael Johnson,tt18271846,6.8,222,tvMiniSeries,Secrets of the Chippendales Murders,0,176
Michael Johnson,tt18569322,9.3,16,movie,Run Nixon,0,113
Michael Smith,tt1020913,7.4,4432,tvSeries,"Diners, Drive-ins and Dives",0,30
Michael Johnson,tt1334307,9.0,383,tvSeries,Unsung,0,60
Michael Smith,tt9111220,7.3,3194,tvSeries,Hudson & Rex,0,45
Chris Smith,tt13025202,7.4,2173,tvSeries,Aurora Teagarden Mysteries,0,90
Chris Smith,tt21411840,6.4,361,tvMovie,Mixed Baggage,0,90
Michael Johnson,tt0313162,5.9,1188,tvSpecial,The 74th Annual Academy Awards,0,256
Michael Johnson,tt0079573,2.6,840,movie,Monstroid,0,78
Chris Smith,tt0155197,6.0,1916,movie,Speedway Junky,0,105
David Smith,tt0983197,7.5,212,tvSeries,Four Corners,0,45
Chris Smith,tt0983197,7.5,212,tvSeries,Four Corners,0,45
Michael Smith,tt0983197,7.5,212,tvSeries,Four Corners,0,45
Michael Smith,tt0848557,5.5,48858,movie,Diary of the Dead,0,95
Michael Smith,tt0288909,7.2,113,tvSeries,Bury the Lead,0,60
Michael Smith,tt4595186,6.4,54208,movie,Luckiest Girl Alive,0,113
Michael Smith,tt1442065,7.7,18294,tvSeries,Rookie Blue,0,42
Michael Johnson,tt14923008,5.0,5024,movie,Shattered,0,92
Michael Johnson,tt0421396,7.6,1030,tvSeries,Match of the Day 2,0,45
Michael Johnson,tt0370451,5.1,174,short,Death of a Nation,0,26
Michael Smith,tt21819258,7.5,42,movie,Bonus Track,0,98
Michael Smith,tt5273720,5.0,1637,movie,All the Creatures Were Stirring,0,80
David Smith,tt0327455,7.5,50,movie,Baby Blues,0,87
Michael Smith,tt13309726,7.4,63,tvSpecial,The Monster at the End of This Story,0,30
David Smith,tt1986871,3.8,396,video,Into the Lion's Den,0,85
Chris Smith,tt21917088,7.1,270,movie,Werner Herzog: Radical Dreamer,0,102
David Smith,tt7520286,6.8,704,movie,Bisbee '17,0,112
David Smith,tt22021226,6.0,78,tvMovie,Secrets in the Family,0,88
Michael Johnson,tt0103396,7.2,3277,tvSeries,Dateline NBC,0,102
Michael Johnson,tt0166442,4.0,784,tvSeries,Inside Edition,0,30
Michael Johnson,tt0124932,6.7,2665,tvSeries,20/20,0,60
